ID,Subject,Session,Optode,Chroma,Condition,Value
5,03,01,S7_D8,hbo,Control,0.5700892585371764
5,03,01,S1_D1,hbo,Control,0.4719817697460686
5,03,01,S2_D1,hbo,Control,-0.8250777403787359
5,03,01,S3_D1,hbo,Control,0.09964862922145672
5,03,01,S3_D2,hbo,Control,-0.81885558102226
5,03,01,S12_D1,hbo,Control,0.3819858628912714
5,03,01,S4_D2,hbo,Noise,0.8765554082140542
5,03,01,S4_D3,hbo,Noise,1.7162706781001191
5,03,01,S5_D2,hbo,Noise,2.4067991238167887
5,03,01,S5_D3,hbo,Noise,1.5601760533132722
5,03,01,S5_D4,hbo,Noise,2.673821820315999
5,03,01,S5_D5,hbo,Noise,2.7785610376345313
5,03,01,S10_D9,hbo,Noise,2.880498127954736
5,03,01,S10_D10,hbo,Noise,2.2813382229970927
5,03,01,S10_D11,hbo,Noise,1.8502425473977953
5,03,01,S10_D12,hbo,Noise,2.6445295503978934
5,03,01,S11_D11,hbo,Noise,0.887486756566896
5,03,01,S11_D12,hbo,Noise,0.7700157376495774
5,03,01,S6_D6,hbo,Noise,0.14809185791881369
5,03,01,S6_D8,hbo,Noise,0.47587052549939446
5,03,01,S7_D7,hbo,Noise,2.077612934752856
5,03,01,S8_D7,hbo,Noise,3.667599697892047
5,03,01,S8_D8,hbo,Noise,4.645492245440029
5,03,01,S9_D8,hbo,Noise,2.800220367371229
5,03,01,S7_D8,hbo,Noise,3.4696007066278836
5,03,01,S1_D1,hbo,Noise,2.0193116836391014
5,03,01,S2_D1,hbo,Noise,-0.24840477116079937
5,03,01,S3_D1,hbo,Noise,0.817504116536096
5,03,01,S3_D2,hbo,Noise,0.8010565904137031
5,03,01,S12_D1,hbo,Noise,0.9862555661195727
5,03,01,S4_D2,hbo,Speech,-1.3998638411909377
5,03,01,S4_D3,hbo,Speech,-1.806719509348456
5,03,01,S5_D2,hbo,Speech,-0.5553522761741048
